experiment_id,best_val_mae,best_val_rmse,best_val_mape,test_mae,test_rmse,test_mape
B1,6.254976076555024,7.9303317234538895,4.158438715949307,,,
B2,13.383243619485311,16.13919739222312,8.986199253397485,,,
B3,5.237879497466868,6.637112520229295,3.4412180282333926,5.422712992773977,6.971021922652638,3.5108583971223974
R1,6.242899373630582,7.777957782092561,4.101120904710614,,,
