Модель,F1-score (SMOTE),Recall (SMOTE),Precision (SMOTE),ROC-AUC (SMOTE)
Logistic Regression,0.5879732739420935,0.7058823529411765,0.5038167938931297,0.8210390348497764
Random Forest,0.5799256505576208,0.6256684491978609,0.5404157043879908,0.819303004469245
XGBoost,0.5763125763125763,0.6310160427807486,0.5303370786516854,0.8125190524167505
CatBoost,0.5997666277712952,0.6871657754010695,0.5320910973084886,0.822971401999535
