Модель,TimeSeries F1 (mean),TimeSeries F1 (std)
Logistic Regression,0.3389505195886889,0.21181028718024597
Random Forest,0.4099470970865446,0.2540121028899232
XGBoost,0.45110827812540216,0.22880490398254227
CatBoost,0.4524266306228421,0.23412749966338803
